Date,Open,High,Low,Close,Adj Close,Volume
11/19/2018,51.049999,51.099998,49.400002,49.549999,45.819702,19520500
11/20/2018,48.669998,49.07,47.959999,48.330002,44.69154,19389600
11/21/2018,48.759998,49.18,48.529999,48.619999,44.959709,13859500
11/23/2018,48.040001,49.119999,48.040001,48.700001,45.033695,7807300
11/26/2018,49.16,49.16,48.099998,48.259998,44.626816,21603800
11/27/2018,47.919998,47.98,46.790001,47.439999,43.868549,28054600
11/28/2018,47.73,48.25,47.369999,48.189999,44.562092,29352900
11/29/2018,48.380001,48.380001,47.439999,47.900002,44.293922,17052100
11/30/2018,48.09,48.84,47.709999,48.759998,45.089172,22884500
12/3/2018,49.439999,50.119999,49.209999,49.830002,46.078621,21966600
12/4/2018,49.52,50.220001,48.709999,48.75,45.079929,24643500
12/6/2018,47.75,47.77,45.650002,46.68,43.165752,39877000
12/7/2018,46.759998,47.040001,45.810001,46,42.536945,23978000
12/10/2018,46.009998,47.080002,45.34,46.669998,43.156513,26375500
12/11/2018,46.98,47.130001,46.060001,46.459999,42.962322,22680200
12/12/2018,47.110001,48.110001,47.009998,47.32,43.757584,21404000
12/13/2018,47.48,47.549999,46.75,47.23,43.674362,23295400
12/14/2018,46.779999,47.029999,46.41,46.599998,43.091785,21434300
12/17/2018,46.419998,47.23,45.529999,45.73,42.287273,30441100
12/18/2018,48.099998,48.34,45.439999,45.849998,42.398251,42855600
12/19/2018,46.060001,47.439999,45.75,46.450001,42.953079,34397300
12/20/2018,46.049999,46.950001,45.48,46.240002,42.758896,35165200
12/21/2018,46.080002,46.209999,43.860001,44,40.687527,58768400
12/24/2018,43.77,43.82,42.68,42.689999,39.476147,17230400
12/26/2018,43,44.610001,42.400002,44.59,41.233105,21428900
12/27/2018,43.950001,45.09,43.459999,44.970001,41.584507,19048700
12/28/2018,45.139999,45.77,44.740002,44.82,41.445786,39141200
